"Date","Week","Type","Team","Added","Dropped"
"2024-01-02",17,"Add/Drop","Elijah Sartin","","JAX"
"2023-12-28",17,"Add/Drop","Ethan Purdy","Noah Brown",""
"2023-12-27",17,"Add/Drop","Ethan Purdy","SEA","CIN"
"2023-12-27",17,"Add/Drop","Ethan Purdy","","Jerick McKinnon"
"2023-12-27",17,"Add/Drop","KING COMMISH","Clyde Edwards-Helaire","KC"
"2023-12-27",17,"Add/Drop","Tommy Pack","","Dorian Thompson-Robinson"
"2023-12-26",16,"Add/Drop","Tommy Pack","Chris Rodriguez","IND"
"2023-12-26",16,"Add/Drop","Tommy Pack","Zamir White",""
"2023-12-25",16,"Add/Drop","Elijah Sartin","JAX","PHI"
"2023-12-24",16,"Add/Drop","Elijah Sartin","K.J. Osborn","Taysom Hill"
"2023-12-24",16,"Add/Drop","Ethan Thimme","DJ Chark",""
"2023-12-22",16,"Add/Drop","Ethan Purdy","Jerick McKinnon",""
"2023-12-21",16,"Add/Drop","Ethan Purdy","","ATL"
"2023-12-21",16,"Add/Drop","Jordan Lacy","Dameon Pierce","Baker Mayfield"
"2023-12-21",16,"Add/Drop","Ethan Purdy","","Robert Woods"
"2023-12-20",16,"Add/Drop","Tommy Pack","","Jake Bobo"
"2023-12-19",15,"Add/Drop","Tommy Pack","Ty Chandler","Dameon Pierce"
"2023-12-19",15,"Add/Drop","Tommy Pack","Dontayvion Wicks",""
"2023-12-13",15,"Add/Drop","Tommy Pack","","Derek Carr"
"2023-12-10",14,"Add/Drop","Kellen McHugh","Chase Brown",""
"2023-12-06",13,"Add/Drop","Jordan Lacy","Ezekiel Elliott","IND"
"2023-12-06",14,"Add/Drop","Tommy Pack","IND","Logan Thomas"
"2023-12-05",13,"Add/Drop","Tommy Pack","DEN",""
"2023-12-05",13,"Add/Drop","Colin Kelly","Isaiah Likely",""
"2023-12-05",13,"Add/Drop","Colin Kelly","","Riley Patterson"
"2023-12-05",13,"Add/Drop","Jordan Lacy","","Michael Carter"
"2023-12-02",13,"Add/Drop","Colin Kelly","","Isaiah Likely"
"2023-12-02",13,"Add/Drop","Colin Kelly","Riley Patterson",""
"2023-12-02",13,"Add/Drop","Elijah Sartin","Taysom Hill",""
"2023-12-01",13,"Add/Drop","Colin Kelly","","Jason Sanders"
"2023-11-30",13,"Add/Drop","Ethan Purdy","Cameron Dicker",""
"2023-11-30",13,"Add/Drop","KING COMMISH","Brock Purdy","Joshua Dobbs"
"2023-11-29",13,"Add/Drop","Ethan Thimme","Cade Otton","Miles Sanders"
"2023-11-29",13,"Add/Drop","Ethan Thimme","Matt Ammendola","Greg Joseph"
"2023-11-29",13,"Add/Drop","Jordan Lacy","","Kadarius Toney"
"2023-11-29",13,"Add/Drop","Tommy Pack","","NO"
"2023-11-29",13,"Add/Drop","Kellen McHugh","","Brock Purdy"
"2023-11-29",13,"Add/Drop","KING COMMISH","","Noah Brown"
"2023-11-28",12,"Add/Drop","Jordan Lacy","Curtis Samuel",""
"2023-11-28",12,"Add/Drop","Jordan Lacy","Michael Carter","Kareem Hunt"
"2023-11-28",12,"Add/Drop","Jordan Lacy","IND","K.J. Osborn"
"2023-11-28",12,"Add/Drop","KING COMMISH","NYJ",""
"2023-11-28",12,"Add/Drop","Colin Kelly","Jason Sanders",""
"2023-11-24",12,"Add/Drop","Kellen McHugh","Jordan Love",""
"2023-11-23",12,"Add/Drop","Tommy Pack","NO",""
"2023-11-23",12,"Add/Drop","Tommy Pack","Dorian Thompson-Robinson",""
"2023-11-23",12,"Add/Drop","Tommy Pack","Jake Bobo",""
"2023-11-23",12,"Add/Drop","Tommy Pack","Emari Demercado","NYJ"
"2023-11-23",12,"Add/Drop","Ethan Purdy","A.T. Perry",""
"2023-11-23",12,"Add/Drop","Ethan Purdy","Trey Palmer",""
"2023-11-23",12,"Add/Drop","Ethan Purdy","CIN","WAS"
"2023-11-22",11,"Add/Drop","Jordan Lacy","","Taysom Hill"
"2023-11-22",11,"Add/Drop","Jordan Lacy","Elijah Moore",""
"2023-11-22",11,"Add/Drop","Jordan Lacy","Kareem Hunt",""
"2023-11-22",11,"Add/Drop","Jordan Lacy","Baker Mayfield",""
"2023-11-22",12,"Add/Drop","Colin Kelly","","Tyler Scott"
"2023-11-22",12,"Add/Drop","Colin Kelly","","Curtis Samuel"
"2023-11-22",12,"Add/Drop","Jordan Lacy","","Mecole Hardman"
"2023-11-21",11,"Add/Drop","Elijah Sartin","Antonio Gibson","Cade Otton"
"2023-11-21",11,"Add/Drop","Kellen McHugh","","Jordan Love"
"2023-11-19",11,"Add/Drop","Colin Kelly","Khalil Herbert","JuJu Smith-Schuster"
"2023-11-18",11,"Add/Drop","KING COMMISH","KC","Khalil Herbert"
"2023-11-18",11,"Add/Drop","KING COMMISH","","Kareem Hunt"
"2023-11-18",11,"Add/Drop","Colin Kelly","","Hunter Henry"
"2023-11-18",11,"Add/Drop","Jordan Lacy","K.J. Osborn",""
"2023-11-17",11,"Add/Drop","Colin Kelly","Zay Jones",""
"2023-11-17",11,"Add/Drop","Colin Kelly","Isaiah Likely",""
"2023-11-16",11,"Add/Drop","Elijah Sartin","AJ Dillon","Justice Hill"
"2023-11-15",11,"Add/Drop","Ethan Thimme","","LAR"
"2023-11-15",11,"Add/Drop","Ethan Thimme","","K.J. Osborn"
"2023-11-15",11,"Trade","Ethan Thimme","Derrick Henry, Gabe Davis, Jaxon Smith-Njigba","Brandon Aiyuk"
"2023-11-15",11,"Trade","Jordan Lacy","Brandon Aiyuk","Derrick Henry, Gabe Davis, Jaxon Smith-Njigba"
"2023-11-15",11,"Add/Drop","Colin Kelly","MIA","LAC"
"2023-11-15",11,"Add/Drop","Colin Kelly","","Josh Reynolds"
"2023-11-15",11,"Add/Drop","Ethan Purdy","WAS",""
"2023-11-15",11,"Add/Drop","Ethan Purdy","","GB"
"2023-11-15",11,"Trade","Elijah Sartin","Michael Pittman","Joshua Palmer, Josh Downs"
"2023-11-15",11,"Trade","Ethan Purdy","Joshua Palmer, Josh Downs","Michael Pittman"
"2023-11-15",11,"Add/Drop","KING COMMISH","Joshua Dobbs","Emari Demercado"
"2023-11-14",10,"Add/Drop","Kellen McHugh","","Darnell Washington"
"2023-11-14",10,"Trade","Kellen McHugh","Tee Higgins",""
"2023-11-14",10,"Trade","Ethan Purdy","","Tee Higgins"
"2023-11-14",10,"Trade","Ethan Purdy","Cooper Kupp",""
"2023-11-14",10,"Trade","KING COMMISH","","Cooper Kupp"
"2023-11-14",10,"Add/Drop","Tommy Pack","Logan Thomas",""
"2023-11-14",10,"Add/Drop","KING COMMISH","Noah Brown",""
"2023-11-14",10,"Add/Drop","KING COMMISH","Devin Singletary",""
"2023-11-14",10,"Add/Drop","KING COMMISH","","Blake Grupe"
"2023-11-12",10,"Add/Drop","Jordan Lacy","Taysom Hill","Daniel Jones"
"2023-11-12",10,"Add/Drop","Jordan Lacy","Odell Beckham","Cam Akers"
"2023-11-11",10,"Add/Drop","Tommy Pack","NYJ","NO"
"2023-11-10",10,"Trade","Ethan Purdy","Evan Engram","Joshua Palmer, Rashid Shaheed"
"2023-11-10",10,"Trade","Elijah Sartin","Joshua Palmer, Rashid Shaheed","Evan Engram"
"2023-11-10",10,"Add/Drop","Elijah Sartin","","Logan Thomas"
"2023-11-10",10,"Add/Drop","Elijah Sartin","Cade Otton",""
"2023-11-10",10,"Add/Drop","Elijah Sartin","J.K. Dobbins","Dustin Hopkins"
"2023-11-09",10,"Add/Drop","Ethan Thimme","PIT","Chase Claypool"
"2023-11-08",10,"Add/Drop","Elijah Sartin","BAL","NYJ"
"2023-11-08",10,"Add/Drop","Kellen McHugh","Jonathan Mingo","Chase Brown"
"2023-11-08",10,"Add/Drop","Elijah Sartin","","Jamaal Williams"
"2023-11-08",10,"Add/Drop","Kellen McHugh","Jake Moody","Jason Sanders"
"2023-11-07",9,"Add/Drop","Tommy Pack","Younghoe Koo",""
"2023-11-07",9,"Add/Drop","Kellen McHugh","Sam Howell","Elijah Mitchell"
"2023-11-07",9,"Add/Drop","Elijah Sartin","NYJ",""
"2023-11-07",9,"Add/Drop","KING COMMISH","Blake Grupe",""
"2023-11-07",9,"Add/Drop","KING COMMISH","","Darrell Henderson"
"2023-11-07",9,"Add/Drop","KING COMMISH","","NE"
"2023-11-06",9,"Trade","KING COMMISH","Jared Goff, Will Levis","Tua Tagovailoa"
"2023-11-06",9,"Trade","Tommy Pack","Tua Tagovailoa","Jared Goff, Will Levis"
"2023-11-06",9,"Trade","Elijah Sartin","Austin Ekeler","D'Andre Swift, Jerome Ford"
"2023-11-06",9,"Trade","Colin Kelly","D'Andre Swift, Jerome Ford","Austin Ekeler"
"2023-11-06",9,"Add/Drop","Elijah Sartin","D'Andre Swift, Jerome Ford",""
"2023-11-06",9,"Add/Drop","Colin Kelly","","D'Andre Swift, Jerome Ford"
"2023-11-06",9,"Add/Drop","Colin Kelly","Austin Ekeler",""
"2023-11-06",9,"Add/Drop","Elijah Sartin","","Austin Ekeler"
"2023-11-06",9,"Trade","Elijah Sartin","Austin Ekeler","D'Andre Swift, Jerome Ford"
"2023-11-06",9,"Trade","Colin Kelly","D'Andre Swift, Jerome Ford","Austin Ekeler"
"2023-11-06",9,"Add/Drop","Elijah Sartin","Keaton Mitchell","Aidan O'Connell"
"2023-11-04",9,"Add/Drop","Elijah Sartin","DeMario Douglas",""
"2023-11-04",9,"Add/Drop","Elijah Sartin","","Dalvin Cook"
"2023-11-04",9,"Add/Drop","Elijah Sartin","Aidan O'Connell",""
"2023-11-04",9,"Add/Drop","Elijah Sartin","","Zay Jones"
"2023-11-02",9,"Add/Drop","Ethan Thimme","","Odell Beckham"
"2023-11-02",9,"Add/Drop","KING COMMISH","NE","Sam Howell"
"2023-11-01",9,"Add/Drop","Jordan Lacy","Brandon Aubrey","Jake Moody"
"2023-11-01",9,"Add/Drop","Kellen McHugh","CLE","SEA"
"2023-11-01",9,"Add/Drop","Tommy Pack","","D'Onta Foreman"
"2023-11-01",9,"Add/Drop","KING COMMISH","Trey McBride","Jeff Wilson"
"2023-10-31",8,"Add/Drop","Tommy Pack","NO","Kendrick Bourne"
"2023-10-31",8,"Add/Drop","Colin Kelly","Khalil Shakir",""
"2023-10-29",8,"Add/Drop","Tommy Pack","Will Levis","Jonnu Smith"
"2023-10-25",8,"Add/Drop","Colin Kelly","LAC","LV"
"2023-10-25",8,"Add/Drop","Colin Kelly","","Julio Jones"
"2023-10-25",8,"Add/Drop","Colin Kelly","","Jerick McKinnon"
"2023-10-25",8,"Add/Drop","KING COMMISH","Emari Demercado","Keaontay Ingram"
"2023-10-25",8,"Add/Drop","Ethan Thimme","","Deuce Vaughn"
"2023-10-25",8,"Add/Drop","Jordan Lacy","Cam Akers",""
"2023-10-24",7,"Add/Drop","KING COMMISH","Darrell Henderson","CLE"
"2023-10-24",7,"Add/Drop","Elijah Sartin","Dustin Hopkins",""
"2023-10-24",7,"Add/Drop","Elijah Sartin","","Brett Maher"
"2023-10-22",7,"Add/Drop","Ethan Purdy","GB",""
"2023-10-22",7,"Add/Drop","KING COMMISH","","Jonathan Mingo"
"2023-10-22",7,"Add/Drop","Kellen McHugh","Elijah Mitchell","Emari Demercado"
"2023-10-21",7,"Add/Drop","Tommy Pack","Kendrick Bourne","Elijah Moore"
"2023-10-21",7,"Add/Drop","Tommy Pack","D'Onta Foreman",""
"2023-10-20",7,"Add/Drop","Jordan Lacy","Mecole Hardman",""
"2023-10-20",7,"Add/Drop","Tommy Pack","Jonnu Smith","Zach Ertz"
"2023-10-19",7,"Add/Drop","Kellen McHugh","Luke Musgrave",""
"2023-10-19",7,"Add/Drop","KING COMMISH","Sam Howell","D'Onta Foreman"
"2023-10-19",7,"Add/Drop","Jordan Lacy","NYG","BAL"
"2023-10-18",7,"Add/Drop","Elijah Sartin","Brett Maher","Sam Howell"
"2023-10-18",7,"Add/Drop","Ethan Purdy","Rashid Shaheed","Samaje Perine"
"2023-10-18",7,"Add/Drop","Ethan Purdy","David Njoku","Tyler Higbee"
"2023-10-18",7,"Add/Drop","Ethan Purdy","ATL","KC"
"2023-10-18",7,"Add/Drop","Ethan Thimme","LAR","CAR"
"2023-10-18",7,"Add/Drop","Ethan Thimme","Geno Smith",""
"2023-10-18",7,"Add/Drop","KING COMMISH","CLE",""
"2023-10-18",7,"Add/Drop","KING COMMISH","","Kirk Cousins"
"2023-10-18",7,"Add/Drop","KING COMMISH","Kareem Hunt","Keaton Mitchell"
"2023-10-17",6,"Add/Drop","Colin Kelly","Julio Jones",""
