"Date","Week","Type","Team","Added","Dropped"
"2025-12-26",17,"Add/Drop","Colin Kelly","Audric Estime","NO"
"2025-12-25",17,"Add/Drop","KING COMMISH","DAL","Audric Estime"
"2025-12-25",17,"Add/Drop","KING COMMISH","LAR","Darnell Mooney"
"2025-12-25",17,"Add/Drop","Ethan Thimme","Dalton Schultz","T.J. Hockenson"
"2025-12-25",17,"Add/Drop","Ethan Thimme","Taysom Hill",""
"2025-12-24",17,"Add/Drop","Ethan Thimme","Darren Waller",""
"2025-12-24",17,"Add/Drop","Ethan Thimme","","KC"
"2025-12-19",16,"Add/Drop","KING COMMISH","Audric Estime",""
"2025-12-18",16,"Add/Drop","Ethan Purdy","","Eddy Pineiro"
"2025-12-17",16,"Add/Drop","Ethan Purdy","Jawhar Jordan",""
"2025-12-17",16,"Add/Drop","Colin Kelly","NO","Cedric Tillman"
"2025-12-17",16,"Add/Drop","Kellen McHugh","Devaughn Vele","Marvin Mims"
"2025-12-14",15,"Add/Drop","Colin Kelly","Mack Hollins",""
"2025-12-14",15,"Add/Drop","Ethan Purdy","Mike Gesicki",""
"2025-12-14",15,"Add/Drop","Ethan Purdy","Eddy Pineiro","Mack Hollins"
"2025-12-11",15,"Add/Drop","KING COMMISH","","Devaughn Vele"
"2025-12-10",15,"Add/Drop","Colin Kelly","","Will Reichard"
"2025-12-10",15,"Add/Drop","Ethan Purdy","SF","LAR"
"2025-12-10",15,"Add/Drop","Kellen McHugh","HOU","MIN"
"2025-12-10",15,"Add/Drop","Tommy Pack","Jaylen Wright","Devin Singletary"
"2025-12-10",15,"Add/Drop","Tommy Pack","Devin Singletary",""
"2025-12-10",15,"Add/Drop","Tommy Pack","Tyler Shough",""
"2025-12-09",14,"Add/Drop","Colin Kelly","PHI","MIA"
"2025-12-09",14,"Add/Drop","Tommy Pack","","BAL"
"2025-12-09",14,"Add/Drop","Tommy Pack","","BUF"
"2025-12-09",14,"Add/Drop","Tommy Pack","","HOU"
"2025-12-09",14,"Add/Drop","Tommy Pack","","PHI"
"2025-12-06",14,"Add/Drop","Colin Kelly","","GB"
"2025-12-06",14,"Add/Drop","Colin Kelly","MIA",""
"2025-12-05",14,"Add/Drop","Colin Kelly","GB","MIA"
"2025-12-05",14,"Add/Drop","Jordan Lacy","TEN","NO"
"2025-12-05",14,"Add/Drop","Colin Kelly","Brenton Strange","Isaiah Davis"
"2025-12-04",14,"Add/Drop","Kellen McHugh","MIN","LAC"
"2025-12-03",14,"Add/Drop","KING COMMISH","Devaughn Vele","Jalen Royals"
"2025-12-03",14,"Add/Drop","KING COMMISH","Emanuel Wilson",""
"2025-12-02",13,"Add/Drop","Tommy Pack","Chris Rodriguez","Greg Dortch"
"2025-12-02",13,"Add/Drop","Tommy Pack","HOU",""
"2025-12-02",13,"Add/Drop","Tommy Pack","PHI",""
"2025-12-02",13,"Add/Drop","KING COMMISH","Shedeur Sanders","GB"
"2025-12-02",13,"Add/Drop","KING COMMISH","Kimani Vidal","Chris Boswell"
"2025-12-02",13,"Add/Drop","Colin Kelly","MIA","Dont'e Thornton"
"2025-11-27",13,"Add/Drop","Colin Kelly","Tre Tucker","Dawson Knox"
"2025-11-27",13,"Add/Drop","Ethan Thimme","","Kimani Vidal"
"2025-11-27",13,"Add/Drop","Tommy Pack","","Tre Tucker"
"2025-11-27",13,"Add/Drop","Tommy Pack","","Devin Singletary"
"2025-11-27",13,"Add/Drop","KING COMMISH","","Emanuel Wilson"
"2025-11-26",13,"Add/Drop","Ethan Purdy","John Metchie",""
"2025-11-26",13,"Add/Drop","Ethan Purdy","","Rashod Bateman"
"2025-11-26",13,"Add/Drop","Ethan Purdy","","Jake Elliott"
"2025-11-25",12,"Add/Drop","Tommy Pack","BUF",""
"2025-11-25",12,"Add/Drop","Tommy Pack","Jacoby Brissett",""
"2025-11-25",12,"Add/Drop","Tommy Pack","","Jacob Cowing"
"2025-11-25",12,"Add/Drop","Tommy Pack","Greg Dortch","Dontayvion Wicks"
"2025-11-25",12,"Add/Drop","Kellen McHugh","LAC","LV"
"2025-11-22",12,"Add/Drop","Jordan Lacy","NO","Eddy Pineiro"
"2025-11-22",12,"Add/Drop","Ethan Purdy","LAR",""
"2025-11-22",12,"Add/Drop","Kellen McHugh","Andrei Iosivas",""
"2025-11-22",12,"Add/Drop","Kellen McHugh","","Luke McCaffrey"
"2025-11-20",12,"Add/Drop","Elijah Sartin","CLE",""
"2025-11-20",12,"Add/Drop","Jordan Lacy","Jason Myers","Ray-Ray McCloud"
"2025-11-20",12,"Add/Drop","KING COMMISH","Darnell Mooney",""
"2025-11-19",12,"Add/Drop","Ethan Purdy","JAX","LAC"
"2025-11-19",12,"Add/Drop","Ethan Purdy","Jake Elliott",""
"2025-11-19",12,"Add/Drop","Ethan Purdy","","Jonnu Smith"
"2025-11-18",11,"Add/Drop","KING COMMISH","Emanuel Wilson","ATL"
"2025-11-18",11,"Add/Drop","Kellen McHugh","LV","HOU"
"2025-11-16",11,"Add/Drop","Ethan Purdy","Zonovan Knight",""
"2025-11-16",11,"Add/Drop","Colin Kelly","Dawson Knox",""
"2025-11-14",11,"Add/Drop","Ethan Purdy","","JAX"
"2025-11-14",11,"Add/Drop","Kellen McHugh","Christian Watson",""
"2025-11-14",11,"Add/Drop","Kellen McHugh","Kyler Murray","Olamide Zaccheaus"
"2025-11-13",11,"Trade","Ethan Purdy","Michael Pittman",""
"2025-11-13",11,"Trade","Elijah Sartin","","Michael Pittman"
"2025-11-13",11,"Add/Drop","Ethan Purdy","Mack Hollins","Michael Badgley"
"2025-11-13",11,"Add/Drop","Ethan Purdy","LAC","BUF"
"2025-11-12",11,"Add/Drop","Jordan Lacy","Matthew Stafford","Jared Goff"
"2025-11-12",11,"Trade","Jordan Lacy","Bucky Irving","RJ Harvey"
"2025-11-12",11,"Trade","Elijah Sartin","RJ Harvey","Bucky Irving"
"2025-11-12",11,"Add/Drop","Ethan Thimme","KC",""
"2025-11-12",11,"Add/Drop","Ethan Thimme","TB",""
"2025-11-12",11,"Add/Drop","Kellen McHugh","","Zonovan Knight"
"2025-11-12",11,"Add/Drop","Ethan Thimme","","Geno Smith"
"2025-11-12",11,"Add/Drop","KING COMMISH","SEA","Darnell Mooney"
"2025-11-12",11,"Add/Drop","KING COMMISH","ATL","CLE"
"2025-11-12",11,"Trade","Jordan Lacy","Tetairoa McMillan, Aaron Jones","Saquon Barkley, Alec Pierce"
"2025-11-12",11,"Trade","Kellen McHugh","Saquon Barkley, Alec Pierce","Tetairoa McMillan, Aaron Jones"
"2025-11-12",11,"Trade","Jordan Lacy","Malik Nabers, Keaton Mitchell","Josh Jacobs, Calvin Austin"
"2025-11-12",11,"Trade","Ethan Thimme","Josh Jacobs, Calvin Austin","Malik Nabers, Keaton Mitchell"
"2025-11-12",11,"Add/Drop","Colin Kelly","","MIN"
"2025-11-12",11,"Add/Drop","Tommy Pack","","Christian Watson"
"2025-11-11",10,"Add/Drop","Colin Kelly","NE",""
"2025-11-11",10,"Add/Drop","Kellen McHugh","HOU","SEA"
"2025-11-11",10,"Add/Drop","Tommy Pack","Sean Tucker","Emanuel Wilson"
"2025-11-06",10,"Add/Drop","Elijah Sartin","Matt Prater","Joey Slye"
"2025-11-06",10,"Add/Drop","Colin Kelly","","Brenton Strange"
"2025-11-06",10,"Add/Drop","Ethan Purdy","JAX","LAR"
"2025-11-06",10,"Add/Drop","Ethan Purdy","Emari Demercado","Joshua Palmer"
"2025-11-05",9,"Add/Drop","Jordan Lacy","Jared Goff",""
"2025-11-05",10,"Add/Drop","Kellen McHugh","Olamide Zaccheaus",""
"2025-11-05",10,"Add/Drop","KING COMMISH","CLE","KC"
"2025-11-05",10,"Add/Drop","KING COMMISH","Chris Boswell","Justin Fields"
"2025-11-05",10,"Add/Drop","KING COMMISH","","Kendrick Bourne"
"2025-11-05",10,"Add/Drop","KING COMMISH","","Kyler Murray"
"2025-11-04",9,"Add/Drop","Tommy Pack","Devin Singletary",""
"2025-11-04",9,"Add/Drop","Tommy Pack","Parker Washington","Michael Carter"
"2025-11-04",9,"Add/Drop","Kellen McHugh","SEA","LAC"
"2025-11-04",9,"Add/Drop","Kellen McHugh","Tyler Loop","Harrison Butker"
"2025-11-02",9,"Add/Drop","Colin Kelly","Cam Little","NE"
"2025-11-02",9,"Add/Drop","Kellen McHugh","Luke McCaffrey",""
"2025-11-02",9,"Add/Drop","Kellen McHugh","Adonai Mitchell",""
"2025-10-31",9,"Add/Drop","Jordan Lacy","Ray-Ray McCloud","Curtis Samuel"
"2025-10-31",9,"Add/Drop","Jordan Lacy","","Lil'Jordan Humphrey"
"2025-10-30",9,"Add/Drop","KING COMMISH","","Luke McCaffrey"
"2025-10-30",9,"Add/Drop","Tommy Pack","Emanuel Wilson","Adam Thielen"
"2025-10-29",9,"Add/Drop","Kellen McHugh","","PHI"
"2025-10-29",9,"Add/Drop","Kellen McHugh","","Bryce Young"
"2025-10-29",9,"Add/Drop","Kellen McHugh","","Adonai Mitchell"
"2025-10-29",9,"Add/Drop","Tommy Pack","Jake Bates","Jake Elliott"
"2025-10-29",9,"Add/Drop","Tommy Pack","BAL","IND"
"2025-10-29",9,"Add/Drop","Tommy Pack","","Hassan Haskins"
"2025-10-29",9,"Add/Drop","Ethan Purdy","LAR","SEA"
"2025-10-29",9,"Add/Drop","Ethan Purdy","","Will Shipley"
"2025-10-28",8,"Add/Drop","Tommy Pack","Christian Watson",""
"2025-10-28",8,"Trade","KING COMMISH","Brian Robinson",""
"2025-10-28",8,"Trade","Tommy Pack","","Brian Robinson"
"2025-10-28",8,"Add/Drop","Kellen McHugh","Zonovan Knight",""
"2025-10-28",8,"Add/Drop","Kellen McHugh","LAC",""
"2025-10-28",8,"Add/Drop","Kellen McHugh","","Josh Reynolds"
"2025-10-27",8,"Add/Drop","Jordan Lacy","Chimere Dike","Kirk Cousins"
"2025-10-26",8,"Add/Drop","KING COMMISH","KC",""
"2025-10-25",8,"Add/Drop","Jordan Lacy","Kirk Cousins","Tyquan Thornton"
"2025-10-24",8,"Add/Drop","Ethan Purdy","Michael Badgley","Matt Gay"
"2025-10-24",8,"Add/Drop","Ethan Purdy","BUF","LAR"
"2025-10-24",8,"Add/Drop","Kellen McHugh","Josh Reynolds",""
"2025-10-23",8,"Add/Drop","Colin Kelly","Isaiah Davis","Cam Little"
"2025-10-22",8,"Add/Drop","Elijah Sartin","Joey Slye","Jason Myers"
"2025-10-22",8,"Add/Drop","Elijah Sartin","Jason Myers","Jake Bates"
"2025-10-21",7,"Add/Drop","Tommy Pack","IND","KC"
"2025-10-21",7,"Add/Drop","Colin Kelly","Will Reichard","Kendre Miller"
"2025-10-21",7,"Add/Drop","Ethan Purdy","Oronde Gadsden","Darren Waller"
"2025-10-21",7,"Add/Drop","Jordan Lacy","Pat Bryant","Beaux Collins"
"2025-10-19",7,"Add/Drop","KING COMMISH","Luke McCaffrey",""
"2025-10-16",7,"Add/Drop","Ethan Purdy","SEA","LV"
"2025-10-16",7,"Add/Drop","Ethan Purdy","Jonnu Smith",""
"2025-10-16",7,"Add/Drop","Ethan Purdy","Matt Gay",""
"2025-10-15",6,"Add/Drop","Tommy Pack","KC","IND"
"2025-10-15",7,"Add/Drop","Kellen McHugh","Harrison Butker",""
"2025-10-15",7,"Add/Drop","Kellen McHugh","","Jaylen Wright"
"2025-10-15",7,"Add/Drop","Kellen McHugh","","Tyler Loop"
"2025-10-14",6,"Add/Drop","Jordan Lacy","Lil'Jordan Humphrey",""
"2025-10-14",6,"Add/Drop","Jordan Lacy","","Trey Palmer"
